WTeamID,LTeamID,WLoc
1197,1250,N
1104,1356,N
1163,1436,N
1177,1173,N
1181,1106,N
1211,1434,N
1264,1196,N
1268,1431,N
1305,1277,N
1314,1102,N
1371,1112,N
1386,1251,N
1390,1427,N
1393,1140,N
1400,1343,N
1403,1150,N
1448,1433,N
1130,1428,N
1153,1190,N
1210,1320,N
1228,1293,N
1242,1227,N
1246,1197,N
1272,1376,N
1280,1284,N
1301,1418,N
1329,1186,N
1334,1344,N
1338,1416,N
1412,1449,N
1435,1444,N
1458,1350,N
1462,1257,N
1104,1390,N
1163,1177,N
1181,1371,N
1305,1211,N
1386,1403,N
1393,1268,N
1400,1314,N
1448,1264,N
1210,1130,N
1228,1153,N
1242,1334,N
1329,1272,N
1338,1458,N
1412,1246,N
1435,1301,N
1462,1280,N
1104,1393,N
1163,1435,N
1329,1338,N
1386,1448,N
1181,1228,N
1210,1305,N
1242,1412,N
1462,1400,N
1163,1104,N
1329,1386,N
1181,1462,N
1210,1242,N
1163,1181,N
1210,1329,N
1163,1210,N
