Team,FG,FG%,3P,3P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,OR,FTAR,3PAR,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,665,0.451,225,0.34700000000000003,402,0.6809999999999999,276,966,398,180,87,365,518,59.6,106.0,0.4,0.44,0.5579999999999999,53.2,59.8,9.7,10.0,0.527,17.2,30.4,0.273
Akron,787,0.41700000000000004,177,0.32,542,0.7090000000000001,401,1188,377,239,88,496,670,65.9,97.2,0.405,0.293,0.51,48.4,47.9,10.1,6.6,0.46399999999999997,18.1,33.3,0.287
Alabama A&M,666,0.424,140,0.313,409,0.626,408,1141,378,225,136,511,561,73.2,94.7,0.41600000000000004,0.285,0.5,53.2,56.8,11.3,11.4,0.469,21.4,39.4,0.261
Alabama-Birmingham,713,0.40700000000000003,156,0.313,471,0.716,325,1082,344,225,137,476,689,64.9,92.4,0.376,0.284,0.49700000000000005,46.4,48.2,10.1,11.1,0.451,18.7,28.2,0.26899999999999996
Alabama State,692,0.435,150,0.349,509,0.6679999999999999,321,1046,340,247,109,486,646,67.8,96.8,0.479,0.27,0.523,48.7,49.1,11.7,10.2,0.48200000000000004,19.9,31.4,0.32
Alabama,736,0.424,181,0.318,420,0.664,384,1102,358,186,131,446,533,65.7,98.6,0.365,0.32899999999999996,0.509,49.5,48.6,8.8,10.1,0.47700000000000004,18.0,34.2,0.242
Albany (NY),778,0.435,222,0.365,434,0.691,355,1065,433,260,129,392,536,65.7,104.4,0.35100000000000003,0.341,0.53,48.0,55.7,12.3,11.2,0.49700000000000005,15.8,31.9,0.243
Alcorn State,888,0.46399999999999997,223,0.38299999999999995,543,0.635,467,1329,566,334,168,488,629,75.3,108.5,0.447,0.304,0.5479999999999999,55.5,63.7,14.3,13.1,0.523,17.4,39.7,0.284
American,732,0.428,169,0.354,450,0.6779999999999999,294,997,387,245,90,297,534,64.1,102.7,0.389,0.27899999999999997,0.514,47.6,52.9,12.1,8.4,0.478,12.8,27.0,0.263
Appalachian State,908,0.42,288,0.34299999999999997,463,0.6579999999999999,382,1134,507,265,96,400,707,67.5,102.1,0.325,0.38799999999999996,0.514,44.3,55.8,10.5,7.4,0.486,13.8,27.4,0.214
Arizona State,678,0.402,181,0.317,401,0.6829999999999999,345,1056,405,184,81,426,581,62.1,94.5,0.348,0.33799999999999997,0.493,50.1,59.7,9.0,8.9,0.456,17.8,31.0,0.23800000000000002
Arizona,787,0.43700000000000006,180,0.314,479,0.695,350,1067,395,181,108,399,621,68.4,102.8,0.38299999999999995,0.319,0.525,50.1,50.2,8.3,9.5,0.48700000000000004,15.8,31.5,0.266
Little Rock,751,0.441,229,0.353,463,0.698,338,1061,453,157,102,359,593,67.2,108.0,0.389,0.381,0.544,51.0,60.3,7.7,9.5,0.508,15.1,31.9,0.272
Arkansas-Pine Bluff,698,0.406,170,0.322,621,0.662,321,1086,392,261,149,473,707,67.4,94.0,0.545,0.307,0.505,45.8,56.2,11.2,11.4,0.455,17.9,27.1,0.361
Arkansas State,738,0.409,161,0.293,428,0.7040000000000001,354,1072,387,222,100,377,611,67.6,97.8,0.337,0.305,0.493,47.4,52.4,10.5,8.1,0.45399999999999996,15.3,30.1,0.237
Arkansas,825,0.43200000000000005,233,0.37200000000000005,483,0.723,396,1187,415,212,148,469,654,71.3,102.5,0.35,0.32799999999999996,0.531,51.8,50.3,9.2,11.6,0.493,17.4,34.5,0.253
Army,560,0.41200000000000003,202,0.33299999999999996,446,0.701,270,955,331,165,89,495,501,64.9,93.5,0.46799999999999997,0.446,0.532,50.7,59.1,8.7,8.5,0.48700000000000004,23.0,30.1,0.32799999999999996
Auburn,830,0.457,223,0.354,490,0.713,342,1137,428,212,118,484,586,71.0,103.6,0.37799999999999995,0.34700000000000003,0.5529999999999999,50.4,51.6,9.3,10.8,0.518,18.4,31.6,0.27
Austin Peay,828,0.444,226,0.369,435,0.7020000000000001,391,1129,437,233,126,432,667,67.6,105.0,0.33299999999999996,0.32899999999999996,0.537,50.8,52.8,10.6,10.7,0.505,16.7,34.4,0.233
Ball State,665,0.401,182,0.312,359,0.688,343,1010,393,202,100,355,599,62.7,97.1,0.314,0.35100000000000003,0.49,49.0,59.1,10.5,8.5,0.455,15.7,31.7,0.21600000000000003
Baylor,816,0.382,249,0.332,481,0.679,470,1178,471,217,85,435,660,67.2,97.0,0.331,0.35100000000000003,0.478,45.6,57.7,8.9,6.2,0.44,15.0,32.8,0.225
Belmont,753,0.413,161,0.303,457,0.675,403,1096,375,263,138,449,639,70.1,97.0,0.37200000000000005,0.29100000000000004,0.495,48.8,49.8,12.0,13.9,0.457,17.3,34.1,0.251
Bethune-Cookman,668,0.424,191,0.36700000000000005,469,0.65,332,1060,357,195,114,465,527,62.0,97.3,0.45799999999999996,0.33,0.52,49.2,53.4,9.5,8.6,0.485,19.5,32.0,0.298
Binghamton,740,0.429,219,0.353,383,0.67,378,1068,403,193,78,354,520,63.2,105.4,0.332,0.359,0.521,49.8,54.5,9.8,7.2,0.49200000000000005,15.1,34.5,0.222
Boise State,864,0.455,205,0.364,398,0.6779999999999999,350,1112,424,198,91,470,515,71.3,101.3,0.309,0.297,0.535,49.2,49.1,8.6,6.7,0.509,17.8,31.1,0.21
Boston College,766,0.436,150,0.301,366,0.672,336,977,364,188,144,363,546,65.8,100.3,0.31,0.28300000000000003,0.508,46.5,47.5,9.2,11.1,0.478,15.3,31.7,0.20800000000000002
Boston University,806,0.41100000000000003,222,0.322,561,0.674,403,1325,441,219,117,511,678,70.1,96.9,0.424,0.35200000000000004,0.508,50.6,54.7,8.9,9.7,0.46799999999999997,17.8,31.0,0.28600000000000003
Bowling Green State,689,0.433,224,0.365,374,0.68,318,963,445,214,96,392,520,63.8,102.8,0.34600000000000003,0.385,0.5329999999999999,48.8,64.6,11.1,8.2,0.503,17.5,31.7,0.235
Bradley,725,0.41100000000000003,223,0.308,416,0.773,367,1082,411,179,64,378,558,64.9,103.0,0.305,0.41,0.517,51.5,56.7,8.8,5.7,0.474,15.8,33.2,0.23600000000000002
Brigham Young,836,0.408,220,0.33299999999999996,500,0.682,372,1181,445,217,105,565,668,71.0,92.9,0.358,0.32299999999999995,0.499,47.0,53.2,8.4,7.4,0.462,19.1,27.8,0.244
Brown,856,0.44299999999999995,207,0.353,312,0.6779999999999999,382,1157,427,214,110,313,575,66.5,107.4,0.23800000000000002,0.304,0.519,53.9,49.9,10.3,11.0,0.49700000000000005,12.7,33.3,0.161
Bryant,694,0.445,195,0.36700000000000005,451,0.6609999999999999,358,1130,398,239,101,359,429,64.9,107.6,0.43700000000000006,0.34,0.54,56.6,57.3,12.6,10.9,0.507,16.0,36.5,0.289
Bucknell,722,0.431,208,0.389,455,0.7190000000000001,319,1074,382,170,94,401,560,65.4,102.3,0.37799999999999995,0.319,0.5329999999999999,50.6,52.9,8.3,8.2,0.493,16.9,30.9,0.272
