Team,PPG,OPP_PPG,O-SRS,D-SRS,ORtg,DRtg,Conf_Rank,Season_Conf_Champs?,Tourney_Conf_Champs?
Duke,77.0,61.0,13.17,12.04,,,2,0,1
Kansas,81.6,64.2,15.06,9.62,,,1,1,1
Syracuse,80.9,66.4,14.9,6.82,,,3,1,0
Kentucky,79.3,64.9,13.3,7.84,,,5,0,1
Kansas State,79.7,69.8,14.47,5.41,,,1,0,0
Ohio State,74.1,61.5,10.34,9.15,,,4,0,1
West Virginia,72.4,63.5,7.6,11.56,,,3,0,1
Brigham Young,83.1,66.4,16.12,2.7,,,7,0,0
Texas,81.2,70.0,15.28,3.28,,,1,0,0
Baylor,77.0,65.6,9.58,8.39,,,1,0,0
Wisconsin,67.1,56.9,2.31,15.54,,,4,0,0
Maryland,79.7,68.3,14.63,3.13,,,2,0,0
Purdue,70.5,61.3,6.09,11.43,,,4,0,0
Missouri,77.3,66.2,11.31,6.08,,,1,0,0
University of California,77.2,68.2,13.43,3.86,,,6,1,0
Georgetown,73.5,66.1,9.38,7.65,,,3,0,0
Villanova,81.8,72.8,16.74,-0.02,,,3,0,0
Xavier,79.8,69.5,14.53,1.69,,,8,0,0
Tennessee,73.5,65.2,7.86,8.19,,,5,0,0
Clemson,73.4,64.5,8.25,7.46,,,2,0,0
Minnesota,72.4,64.1,8.09,7.55,,,4,0,0
Washington,79.2,70.0,13.31,2.33,,,6,0,1
Michigan State,71.8,63.8,7.35,7.99,,,4,0,0
Texas A&M,71.4,64.5,5.7,9.54,,,1,0,0
Vanderbilt,76.9,68.9,11.84,3.4,,,5,0,0
Marquette,73.1,64.6,5.9,9.27,,,3,0,0
Florida State,68.2,60.4,2.6,12.03,,,2,0,0
Butler,68.7,59.4,2.5,11.87,,,13,1,1
Pittsburgh,68.7,61.8,2.66,11.64,,,3,0,0
Georgia Tech,72.8,65.7,7.49,6.62,,,2,0,0
Louisville,75.9,69.8,10.13,3.95,,,3,0,0
Arizona State,66.7,58.7,1.61,12.19,,,6,0,0
Utah State,73.1,59.9,3.15,10.47,,,11,1,0
Mississippi,78.4,70.7,11.95,1.51,,,5,0,0
Saint Mary's (CA),78.5,66.4,10.03,3.35,,,12,0,1
Dayton,70.2,62.3,3.27,9.98,,,8,0,0
Notre Dame,75.3,68.4,9.82,3.32,,,3,0,0
Texas-El Paso,75.3,64.6,6.96,5.7,,,10,1,0
Nevada-Las Vegas,73.1,63.8,5.98,6.59,,,7,0,0
Mississippi State,72.8,64.9,6.17,6.38,,,5,0,0
Connecticut,70.0,66.6,5.63,6.87,,,3,0,0
New Mexico,75.9,67.2,9.65,2.84,,,7,1,0
Temple,64.9,56.8,-2.6,15.04,,,8,0,1
Oklahoma State,73.8,68.0,7.29,5.05,,,1,0,0
Gonzaga,76.9,67.4,9.27,2.84,,,12,1,0
Northern Iowa,63.3,55.1,-2.81,14.84,,,9,1,1
Florida,72.2,66.4,5.81,6.08,,,5,0,0
Memphis,75.4,65.7,7.34,4.4,,,10,0,0
Virginia Tech,72.7,65.1,6.0,5.65,,,2,0,0
Illinois,70.8,66.8,6.47,5.11,,,4,0,0
Wake Forest,72.8,69.5,8.21,3.25,,,2,0,0
Old Dominion,67.1,57.5,-0.52,11.91,,,14,1,1
Miami (FL),72.4,64.7,5.83,5.52,,,2,0,0
San Diego State,70.3,61.8,3.49,7.85,,,7,0,1
Seton Hall,80.1,75.4,12.97,-2.53,,,3,0,0
Alabama,68.5,64.8,2.35,7.99,,,5,0,0
Virginia Commonwealth,76.0,66.4,9.32,0.91,,,14,0,0
North Carolina,74.5,71.9,8.52,1.62,,,2,0,0
Michigan,64.3,61.6,0.26,9.78,,,4,0,0
Richmond,69.3,62.7,0.98,9.06,,,8,0,0
Cincinnati,68.8,66.5,3.23,6.75,,,3,0,0
Iowa State,70.3,67.9,6.51,3.09,,,1,0,0
Boston College,69.2,66.1,4.42,5.16,,,2,0,0
Alabama-Birmingham,66.9,60.4,0.64,8.82,,,10,0,0
St. John's (NY),68.2,66.4,1.86,7.37,,,3,0,0
Rhode Island,76.0,70.2,8.74,0.43,,,8,0,0
Southern California,59.6,57.2,-6.28,15.21,,,6,0,0
Virginia,65.5,63.6,0.14,8.66,,,2,0,0
Cornell,76.4,64.5,7.2,1.55,,,24,1,0
South Florida,67.5,65.9,1.89,6.83,,,3,0,0
Murray State,76.5,60.4,2.63,6.06,,,21,1,1
