Team,Home_W,Home_L,Away_W,Away_L,Conf_W,Conf_L,SOS,FG,FG%,3P,3P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,FTAR,3PAR,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,8,10,0,10,1.0,15.0,3.13,632,0.44299999999999995,176,0.313,333,0.635,220,851,389,155,51,394,547,59.6,0.36700000000000005,0.39399999999999996,0.529,46.8,61.6,8.4,6.2,0.504,19.0,24.2,0.233
Akron,13,5,7,4,12.0,4.0,-1.5,877,0.433,235,0.33899999999999997,483,0.657,467,1269,473,213,114,464,682,65.9,0.363,0.34299999999999997,0.521,51.6,53.9,9.0,8.5,0.491,16.4,37.2,0.239
Alabama A&M,8,5,3,9,8.0,10.0,-13.71,599,0.382,108,0.29100000000000004,472,0.635,376,1004,288,249,143,444,550,73.2,0.474,0.237,0.46299999999999997,46.8,48.1,12.5,12.7,0.41600000000000004,18.8,33.9,0.301
Alabama-Birmingham,14,4,9,4,11.0,5.0,2.9,763,0.42200000000000004,177,0.311,573,0.6940000000000001,420,1248,390,223,91,451,611,64.9,0.457,0.315,0.518,53.6,51.1,10.0,7.3,0.47100000000000003,17.0,35.7,0.317
Alabama State,9,3,6,11,12.0,6.0,-12.02,667,0.40399999999999997,190,0.324,474,0.6409999999999999,400,1101,400,228,129,501,634,67.8,0.44799999999999995,0.35600000000000004,0.499,51.3,60.0,10.8,11.1,0.462,20.0,35.6,0.287
Alabama,11,6,3,6,6.0,10.0,6.62,791,0.441,175,0.35,435,0.7070000000000001,386,1126,429,249,127,410,583,65.7,0.34299999999999997,0.27899999999999997,0.525,50.5,54.2,11.8,10.9,0.49,16.4,35.0,0.242
Albany (NY),4,9,3,15,2.0,14.0,-5.53,710,0.409,194,0.332,393,0.721,399,1156,380,187,97,517,602,65.7,0.314,0.337,0.503,52.0,53.5,8.8,8.2,0.465,20.6,36.0,0.226
Alcorn State,2,8,0,18,2.0,16.0,-9.0,651,0.379,135,0.309,443,0.611,356,1065,269,214,98,642,670,75.3,0.42200000000000004,0.255,0.456,44.5,41.3,9.1,7.4,0.418,23.7,29.2,0.258
American,7,8,4,12,7.0,7.0,-6.89,681,0.425,184,0.345,395,0.6920000000000001,304,1097,447,109,81,458,590,64.1,0.35600000000000004,0.33299999999999996,0.518,52.4,65.6,5.4,6.6,0.48200000000000004,19.6,30.2,0.24600000000000002
Appalachian State,14,4,8,8,13.0,5.0,-2.76,954,0.47600000000000003,279,0.397,579,0.738,411,1424,447,201,102,544,652,67.5,0.391,0.35,0.581,55.7,46.9,8.0,7.7,0.545,18.6,35.3,0.289
Arizona State,16,4,5,5,12.0,6.0,5.83,743,0.452,271,0.369,445,0.7120000000000001,281,1050,461,216,80,392,542,62.1,0.38,0.447,0.5670000000000001,49.9,62.0,10.5,7.2,0.534,16.8,28.3,0.271
Arizona,11,5,4,7,10.0,8.0,8.1,745,0.44299999999999995,194,0.358,545,0.733,302,1062,384,186,78,436,595,68.4,0.44299999999999995,0.322,0.5479999999999999,49.9,51.5,8.6,6.4,0.501,17.6,29.6,0.324
Little Rock,8,6,0,14,4.0,14.0,-2.23,670,0.425,185,0.369,503,0.6990000000000001,296,1019,363,141,81,402,597,67.2,0.457,0.318,0.529,49.0,54.2,6.9,7.7,0.484,17.3,29.0,0.319
Arkansas-Pine Bluff,8,1,5,14,14.0,4.0,-7.68,725,0.408,141,0.303,575,0.6679999999999999,422,1286,421,229,121,569,764,67.4,0.484,0.262,0.495,54.2,58.1,9.8,10.2,0.447,20.6,35.6,0.32299999999999995
Arkansas State,10,5,5,8,11.0,7.0,-4.39,768,0.446,172,0.349,452,0.6629999999999999,367,1188,406,159,129,430,562,67.6,0.396,0.28600000000000003,0.528,52.6,52.9,7.5,10.3,0.496,17.4,33.8,0.263
Arkansas,12,8,2,7,7.0,9.0,5.09,829,0.446,201,0.34700000000000003,532,0.68,351,1103,440,232,130,439,598,71.3,0.42100000000000004,0.311,0.536,48.2,53.1,10.0,10.1,0.5,16.4,30.7,0.28600000000000003
Army,10,4,4,11,4.0,10.0,-7.96,637,0.414,159,0.326,316,0.654,300,928,334,239,74,430,580,64.9,0.314,0.317,0.495,49.3,52.4,12.6,9.8,0.466,19.6,30.5,0.205
Auburn,12,5,1,9,6.0,10.0,4.68,850,0.444,271,0.331,451,0.655,382,1121,419,252,89,437,635,71.0,0.36,0.428,0.541,49.6,49.3,11.0,7.5,0.515,16.3,32.5,0.23600000000000002
Austin Peay,11,4,5,9,11.0,7.0,-1.68,786,0.455,200,0.366,548,0.6940000000000001,347,1092,429,189,107,458,547,67.6,0.457,0.317,0.552,49.2,54.6,8.6,8.6,0.513,17.9,32.0,0.317
Ball State,11,6,4,8,8.0,8.0,-1.48,617,0.415,113,0.365,471,0.688,314,1053,332,152,91,436,531,62.7,0.461,0.209,0.502,51.0,53.8,7.9,8.4,0.45299999999999996,19.4,32.0,0.317
Baylor,15,1,6,4,11.0,5.0,8.03,993,0.48700000000000004,255,0.385,530,0.725,443,1408,508,237,242,491,639,67.2,0.358,0.325,0.58,54.4,51.2,9.7,17.4,0.5489999999999999,17.1,38.5,0.26
Belmont,10,3,8,8,14.0,6.0,-3.41,763,0.449,244,0.344,496,0.674,371,1150,445,222,92,513,595,70.1,0.433,0.41700000000000004,0.5529999999999999,51.2,58.3,10.1,7.1,0.521,20.0,34.9,0.292
Bethune-Cookman,10,4,4,11,7.0,9.0,-8.4,743,0.43,134,0.33899999999999997,401,0.643,392,1096,344,227,114,423,593,62.0,0.361,0.22899999999999998,0.499,50.8,46.3,11.1,10.8,0.469,17.3,35.0,0.23199999999999998
