WTeamID,LTeamID,MOV,WLoc
1143,1102,21,H
1177,1326,18,H
1222,1455,1,A
1242,1412,26,H
1261,1379,11,H
1301,1350,9,H
1385,1299,7,H
1424,1258,11,H
1177,1301,7,H
1242,1261,6,A
1385,1222,7,H
1424,1143,20,H
1242,1424,14,N
1385,1177,1,H
1242,1385,9,A
1424,1177,35,N
1375,1363,3,A
1210,1209,25,H
1206,1187,4,N
1268,1190,5,N
1104,1443,7,N
1109,1179,4,H
1116,1359,30,H
1132,1239,12,N
1140,1373,21,H
1147,1124,2,A
1160,1349,16,H
1185,1458,19,N
1197,1126,13,N
1201,1388,24,H
1206,1291,3,H
1234,1411,16,H
1243,1199,1,N
1247,1283,4,N
1249,1363,1,A
1267,1119,7,N
1272,1398,25,H
1277,1120,13,N
1280,1419,7,N
1281,1191,15,N
1284,1444,4,N
1285,1339,23,H
1307,1215,34,H
1314,1241,1,N
1319,1149,1,N
1333,1266,14,H
1344,1306,21,H
1345,1123,14,H
1374,1317,8,A
1391,1133,7,N
1395,1408,20,A
1397,1122,2,N
1401,1163,11,N
1418,1279,11,N
1427,1426,20,H
1433,1273,19,H
1437,1361,8,N
1438,1318,22,H
1102,1434,14,H
1104,1185,3,N
1111,1187,10,A
1112,1276,7,N
1117,1212,27,H
1119,1318,1,N
1122,1398,4,N
1124,1419,1,N
1130,1271,26,H
1131,1232,13,H
1140,1186,10,H
1153,1278,2,H
1155,1391,13,N
1161,1410,24,H
1163,1120,4,N
1173,1192,8,H
1178,1141,9,H
1181,1217,76,H
1200,1298,7,A
1203,1259,13,H
1226,1129,25,A
1231,1275,11,H
1233,1296,7,H
1235,1405,18,H
1239,1306,8,N
1241,1361,3,N
1243,1218,3,N
1247,1201,12,A
1248,1159,26,H
1253,1372,44,H
1256,1103,13,H
1258,1305,43,H
1263,1164,5,H
1264,1220,3,A
1268,1175,34,H
1272,1397,19,H
1277,1401,12,N
1280,1147,16,A
1281,1257,3,N
1283,1388,17,N
1304,1282,15,H
1307,1284,6,H
1314,1437,10,N
1325,1351,19,H
1335,1250,5,H
1344,1132,2,H
1352,1452,3,A
1358,1461,3,A
1362,1414,8,H
1364,1337,21,H
1380,1322,25,H
1382,1145,11,H
1383,1162,3,A
1384,1174,6,H
1417,1365,4,H
1420,1198,2,A
1423,1144,16,H
1426,1311,16,H
1438,1267,20,H
1442,1139,17,H
1444,1215,10,N
1448,1172,19,H
1453,1229,1,A
1458,1443,11,N
1104,1155,9,N
1116,1332,27,H
1163,1199,3,N
1185,1391,5,N
1218,1401,4,N
1241,1191,10,N
1257,1437,14,N
1281,1314,7,N
1356,1152,13,A
1458,1133,6,N
1110,1184,5,H
1130,1171,9,H
1150,1299,32,H
1160,1434,40,H
1164,1166,6,A
1165,1382,3,H
1168,1249,37,H
1175,1148,8,H
1177,1216,8,H
1180,1263,14,H
1183,1232,2,A
1196,1309,5,A
1203,1386,14,A
1208,1149,36,H
1221,1159,23,A
1229,1139,8,H
1235,1197,25,H
1256,1270,4,H
1265,1206,6,H
1267,1439,4,A
1268,1121,31,H
1274,1420,17,H
1275,1304,20,H
1276,1131,8,A
1277,1243,5,N
1286,1381,1,H
1301,1111,30,H
1322,1212,22,H
1326,1291,39,H
1339,1450,5,H
1349,1408,27,H
1378,1198,14,H
1379,1399,17,H
1384,1251,10,A
1387,1398,31,H
1390,1414,13,A
1393,1353,16,H
1419,1238,18,H
1425,1341,7,H
1427,1395,10,A
1431,1308,3,H
1435,1374,5,A
1456,1172,1,H
1457,1383,1,H
1124,1402,31,H
1126,1239,3,A
1140,1451,16,H
1155,1154,17,A
1190,1397,13,A
1210,1350,13,H
1217,1306,20,A
1228,1279,11,A
1231,1245,11,H
1234,1179,14,H
1246,1325,3,H
1247,1196,7,N
1264,1162,18,H
1272,1461,16,H
1278,1152,23,H
1291,1175,13,H
1298,1220,8,H
1305,1365,1,H
1321,1453,22,H
1323,1362,20,H
1329,1317,28,A
1338,1373,12,H
1343,1250,11,H
1348,1135,29,A
1364,1360,17,A
1389,1447,3,A
1396,1335,1,A
1400,1426,50,H
1406,1224,19,H
1412,1108,51,H
1429,1129,9,H
1438,1359,26,H
1114,1372,58,H
1116,1375,15,A
1141,1455,2,H
1143,1341,8,H
1150,1157,16,H
1153,1423,11,A
1166,1285,2,A
1173,1202,6,H
1178,1182,11,A
1181,1145,36,H
1192,1131,1,H
1204,1121,7,H
1221,1291,7,H
1276,1212,15,H
1277,1304,11,H
1280,1147,38,H
1293,1443,2,A
1318,1193,7,H
1328,1109,72,H
1330,1456,5,H
1334,1339,14,A
1347,1233,10,H
1352,1310,11,A
1376,1457,22,H
1386,1180,7,H
1393,1165,52,H
1398,1299,1,H
1399,1435,13,A
1442,1197,11,H
1104,1314,8,H
1110,1259,27,H
1140,1429,6,A
1160,1461,4,H
1163,1463,26,H
1171,1306,2,A
1200,1220,13,A
1201,1270,1,A
1242,1225,29,H
1260,1351,8,H
1296,1286,21,H
1332,1112,5,H
1333,1113,23,H
1336,1436,25,H
1344,1284,24,H
1345,1428,2,A
1349,1232,2,H
1353,1248,14,H
1356,1398,34,H
1360,1317,13,A
1387,1183,6,A
1409,1249,12,A
1417,1449,2,A
1421,1440,6,A
1437,1384,21,H
1448,1191,5,A
1450,1425,1,H
1103,1447,13,H
1122,1162,33,H
1123,1215,28,H
1124,1273,42,H
1151,1298,5,N
1161,1184,9,N
1164,1287,9,N
1175,1134,29,H
1196,1199,13,H
1208,1395,5,N
1212,1322,4,H
1216,1135,18,H
1233,1159,4,H
1234,1325,26,H
1239,1144,20,H
1245,1455,12,N
1256,1374,3,N
1258,1391,30,N
1265,1180,2,N
1266,1423,22,H
1301,1326,14,N
1304,1217,38,H
1309,1311,19,N
1334,1206,8,N
1337,1102,7,N
1338,1329,12,N
1350,1119,7,H
1353,1174,16,H
1358,1109,18,N
1364,1133,26,N
1365,1129,31,H
1371,1254,23,H
1376,1268,1,N
1390,1250,23,H
1393,1433,27,H
1396,1117,24,N
1402,1226,13,H
1403,1339,36,N
1410,1401,18,N
1412,1120,10,A
1414,1137,6,H
1418,1238,16,H
1438,1172,14,A
1443,1290,29,H
1458,1211,5,N
1102,1217,2,N
1103,1309,10,H
1106,1354,8,A
1110,1193,4,A
1111,1209,41,H
1114,1431,23,H
1117,1433,16,N
1122,1403,1,H
1123,1164,5,H
1124,1358,13,H
1130,1263,7,A
1132,1464,21,H
1135,1180,5,N
1137,1298,1,N
1139,1227,6,H
1143,1362,22,H
1145,1386,13,H
1151,1414,2,A
1160,1319,16,A
1162,1339,11,N
1163,1224,19,H
1168,1388,20,A
1173,1343,6,H
1181,1321,26,A
1182,1349,2,H
1183,1286,11,H
1191,1351,27,H
1203,1148,13,H
1204,1249,1,A
1206,1238,5,N
1207,1198,50,H
1208,1443,6,A
1211,1423,7,N
1215,1287,2,N
1216,1265,1,H
1220,1408,1,A
1222,1305,41,H
1228,1152,20,H
1229,1192,22,H
1231,1246,2,N
1232,1185,7,A
1234,1364,6,H
1241,1440,30,N
1242,1420,19,H
1245,1233,3,A
1247,1177,21,A
1248,1200,1,H
1250,1374,20,N
1253,1345,1,H
1257,1323,11,N
1258,1239,1,A
1261,1270,36,H
1264,1259,2,H
1267,1161,7,H
1268,1119,18,N
1269,1131,16,A
1273,1109,2,N
1274,1149,10,H
1275,1153,4,A
1276,1235,23,H
1277,1202,21,A
1278,1405,15,A
1283,1409,7,A
1288,1383,13,H
1299,1347,28,H
1301,1338,13,N
1304,1337,4,H
1308,1307,5,H
1314,1416,50,H
1318,1348,2,A
1320,1179,8,A
1325,1133,19,N
1329,1326,22,N
1330,1452,4,N
1332,1113,2,H
1333,1112,23,H
1336,1140,10,H
1341,1426,1,H
1344,1221,13,H
1350,1376,6,H
1356,1296,15,H
1373,1141,6,A
1378,1126,16,H
1381,1462,7,A
1382,1353,3,H
1385,1360,15,H
1387,1293,10,H
1389,1310,7,A
1390,1256,3,H
1391,1144,14,N
1393,1396,17,H
1395,1290,15,N
1401,1226,15,N
1410,1402,5,A
1417,1450,4,A
1418,1334,3,H
1419,1279,10,H
1427,1317,12,H
1437,1436,16,H
1439,1421,21,H
1441,1121,15,A
1447,1311,7,N
1448,1165,31,H
1449,1425,5,H
1455,1159,14,N
1458,1266,5,A
1460,1375,14,N
1461,1285,20,H
1314,1406,17,H
1375,1360,5,N
1385,1460,20,H
1435,1438,4,H
1106,1398,5,A
1111,1150,7,H
1129,1388,8,H
1132,1373,45,H
1160,1229,6,H
1163,1268,22,N
1164,1405,4,A
1183,1293,5,H
1200,1130,13,A
1203,1330,4,H
1210,1338,1,N
1212,1152,5,H
1243,1124,7,A
1246,1280,5,H
1257,1156,27,H
1261,1249,40,H
1281,1166,7,H
1286,1372,12,A
1292,1103,3,A
1308,1175,14,H
1350,1440,1,H
1361,1403,1,H
1380,1322,4,A
1384,1291,2,H
1399,1358,13,H
1409,1416,30,H
1411,1317,17,A
1421,1273,14,A
1426,1427,14,H
1437,1335,29,H
1443,1139,3,A
1450,1458,3,H
1453,1141,8,A
1457,1202,1,H
1462,1352,7,A
1463,1447,19,H
1116,1279,14,H
1119,1456,11,H
1140,1113,1,A
1143,1109,10,A
1144,1259,5,H
1147,1401,7,A
1165,1159,8,A
1179,1363,18,A
1193,1148,19,H
1199,1120,4,H
1216,1348,10,H
1222,1177,23,H
1224,1318,6,H
1225,1211,20,A
1228,1196,15,A
1231,1323,9,H
1232,1123,1,H
1239,1389,2,H
1248,1162,8,A
1266,1260,6,H
1275,1184,18,H
1287,1271,11,A
1296,1304,9,H
1301,1385,9,N
1306,1135,2,A
1309,1197,5,H
1321,1408,30,H
1329,1272,27,H
1336,1206,2,A
1337,1151,14,H
1351,1284,1,H
1362,1305,23,H
1371,1448,2,N
1378,1391,14,H
1397,1307,11,H
1412,1332,10,H
1418,1270,10,A
1428,1449,9,A
1439,1104,1,H
1444,1434,13,A
1452,1267,18,H
1455,1283,13,H
1461,1191,2,H
1112,1319,47,H
1124,1317,11,A
1132,1460,7,A
1150,1423,17,A
1155,1344,1,N
1157,1154,2,H
1166,1156,8,H
1185,1178,4,H
1221,1217,19,H
1238,1197,6,H
1242,1374,33,A
1243,1282,21,H
1245,1103,25,H
1246,1399,36,H
1253,1133,10,A
1254,1288,15,H
1257,1435,26,H
1269,1463,6,H
1274,1173,5,H
1276,1141,49,H
1343,1233,12,A
1350,1433,12,A
1352,1145,3,A
1353,1386,17,H
1361,1360,10,H
1382,1420,16,H
1393,1181,2,N
1406,1298,3,A
1425,1339,1,A
1431,1175,35,H
1106,1359,11,H
1113,1362,3,A
1130,1135,29,H
1139,1275,3,H
1161,1322,33,H
1163,1216,25,H
1187,1251,3,A
1200,1119,13,A
1207,1314,12,N
1227,1260,16,A
1234,1235,2,A
1241,1439,14,H
1250,1159,41,H
1256,1358,27,H
1258,1109,15,A
1267,1401,3,A
1271,1149,9,H
1301,1182,49,H
1308,1307,1,A
1332,1428,7,H
1345,1229,14,A
1347,1198,15,H
1356,1183,16,A
1416,1121,4,H
1421,1441,8,H
1438,1437,8,N
1453,1122,24,H
1458,1442,27,H
1461,1270,26,H
1117,1290,33,H
1129,1363,4,H
1131,1190,5,N
1140,1317,29,H
1147,1450,17,N
1150,1172,4,H
1160,1429,14,N
1162,1224,1,N
1166,1444,11,N
1179,1273,37,H
1185,1383,22,N
1201,1243,2,A
1218,1203,22,N
1228,1232,34,H
1231,1375,29,H
1238,1254,12,N
1253,1306,21,N
1265,1436,23,H
1272,1333,6,H
1283,1381,15,H
1285,1284,3,H
1288,1209,13,N
1291,1259,10,H
1335,1298,9,A
1373,1310,13,H
1391,1126,29,H
1398,1151,4,A
1400,1264,45,A
1406,1420,3,N
1408,1399,2,N
1411,1225,1,A
1412,1204,26,N
1427,1402,19,N
1104,1184,19,N
1111,1421,14,H
1114,1359,21,A
1116,1109,65,H
1117,1408,12,H
1120,1182,5,N
1124,1215,9,H
1129,1211,2,H
1134,1271,10,H
1140,1412,16,H
1143,1414,21,H
1151,1209,10,H
1155,1347,38,H
1157,1354,2,A
1161,1226,15,A
1163,1263,40,H
1168,1409,26,H
1173,1154,21,H
1174,1456,16,H
1178,1152,11,H
1179,1238,5,H
1185,1391,7,A
1190,1284,12,N
1191,1405,17,H
1192,1216,1,H
1196,1241,8,N
1199,1309,2,H
1203,1429,7,N
1204,1317,18,N
1206,1365,2,H
1207,1349,21,H
1208,1416,30,A
1217,1148,30,A
1218,1160,9,N
1221,1200,7,A
1225,1147,31,H
1229,1227,4,H
1231,1253,17,H
1234,1314,13,H
1242,1246,55,H
1245,1434,22,A
1248,1463,17,H
1251,1149,12,H
1256,1292,21,H
1257,1443,14,H
1258,1364,3,H
1265,1162,20,H
1266,1323,12,H
1268,1239,15,H
1273,1254,1,N
1276,1181,5,H
1277,1122,12,H
1278,1235,16,H
1279,1232,6,N
1281,1330,13,A
1283,1166,7,H
1285,1131,9,H
1286,1270,14,H
1304,1403,7,H
1306,1375,1,N
1318,1269,6,H
1320,1296,4,H
1321,1260,20,N
1325,1267,9,H
1326,1110,10,H
1328,1424,8,H
1332,1339,1,H
1334,1388,2,A
1336,1396,2,H
1343,1386,15,A
1345,1387,7,H
1348,1344,1,N
1350,1193,12,H
1352,1464,18,H
1356,1293,6,A
1361,1425,6,H
1371,1233,18,H
1378,1198,22,A
1379,1419,4,A
1381,1444,15,N
1383,1126,4,N
1385,1220,11,H
1393,1145,20,A
1395,1249,29,H
1398,1288,23,N
1399,1290,5,N
1400,1427,3,H
1401,1372,30,H
1402,1264,2,N
1406,1291,13,N
1417,1360,9,H
1420,1259,11,N
1426,1410,6,H
1431,1133,19,A
1435,1243,10,H
1436,1224,29,N
1438,1222,18,H
1442,1177,3,A
1448,1144,34,H
1450,1411,13,N
1452,1338,4,H
1453,1282,5,A
1458,1139,16,H
1460,1141,1,H
1461,1322,12,H
1462,1275,7,A
1187,1347,12,A
1333,1397,6,A
1384,1310,2,A
1103,1325,6,H
1110,1365,15,H
1120,1106,19,H
1204,1293,2,A
1208,1273,28,H
1210,1299,14,H
1225,1304,7,A
1247,1335,3,H
1276,1152,27,H
1284,1119,2,H
1320,1358,13,A
1363,1395,1,H
1373,1145,11,H
1409,1282,10,A
1450,1186,39,H
1464,1434,18,H
1130,1217,48,A
1140,1429,1,H
1164,1268,7,A
1180,1420,2,A
1192,1389,15,H
1193,1263,3,H
1218,1202,11,H
1220,1233,14,A
1227,1277,8,H
1235,1179,3,A
1281,1116,1,A
1285,1109,24,H
1305,1211,10,H
1308,1431,13,H
1351,1254,2,H
1356,1191,4,H
1385,1200,8,A
1396,1182,31,H
1433,1347,34,H
1437,1163,7,A
1447,1148,3,H
1110,1455,1,A
1117,1283,4,H
1123,1434,7,A
1160,1414,15,H
1222,1372,13,H
1253,1400,2,A
1273,1121,6,H
1278,1178,28,A
1371,1353,5,A
1382,1310,10,A
1439,1456,23,A
1449,1186,16,H
1460,1383,14,A
1109,1451,4,H
1134,1220,10,H
1147,1209,11,H
1166,1304,3,H
1187,1144,10,H
1204,1215,13,H
1225,1450,4,A
1243,1409,6,H
1269,1306,23,H
1284,1174,11,H
1325,1184,1,A
1420,1164,6,H
1433,1133,23,H
