WTeamID,LTeamID,MOV,WLoc
1112,1375,8,N
1130,1434,7,N
1143,1343,3,N
1153,1139,17,N
1158,1268,9,N
1160,1231,18,N
1234,1438,13,N
1235,1229,12,N
1242,1238,14,N
1246,1285,38,N
1314,1193,8,N
1345,1348,7,N
1386,1334,10,N
1417,1149,34,N
1437,1254,10,N
1462,1435,12,N
1150,1207,12,N
1151,1208,3,N
1155,1275,12,N
1164,1376,13,N
1181,1293,3,N
1228,1425,13,N
1257,1269,8,N
1278,1402,32,N
1307,1330,4,N
1344,1266,22,N
1390,1328,13,N
1396,1279,22,N
1400,1458,13,N
1409,1131,29,N
1428,1298,14,N
1448,1388,22,N
1112,1158,4,N
1143,1437,7,N
1235,1153,1,N
1242,1345,14,N
1246,1234,6,N
1314,1160,17,N
1386,1130,4,N
1417,1462,13,N
1151,1228,12,N
1155,1409,6,N
1257,1307,1,N
1278,1396,19,N
1344,1181,11,N
1390,1448,6,N
1400,1164,1,N
1428,1150,19,N
1246,1386,15,N
1278,1155,6,N
1417,1235,1,N
1428,1390,5,N
1112,1242,3,N
1257,1400,15,N
1314,1143,6,N
1344,1151,6,N
1246,1428,13,N
1278,1417,8,N
1112,1344,4,N
1314,1257,23,N
1112,1314,8,N
1246,1278,9,N
1112,1246,5,N
