School,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/5,Final,1/9
Louisville,9,8,7,6,5,4,4,4,11,23,-,-,24,19,17,19,-,17,14
Kentucky,2,2,2,1,1,3,3,3,2,2,1,1,1,1,1,1,1,1,2
Marquette,22,21,16,16,11,11,10,14,20,21,17,15,18,12,10,8,9,11,25
Seton Hall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
Wichita State,-,-,-,-,-,-,-,-,-,-,-,-,-,24,19,15,16,18,-
Alabama,19,16,13,12,16,23,-,-,-,-,-,-,-,-,-,-,-,-,-
Pitt,10,9,17,17,15,15,15,22,-,-,-,-,-,-,-,-,-,-,-
Florida State,-,25,22,-,-,-,-,-,-,-,23,21,15,20,15,22,17,10,-
Creighton,-,-,-,-,19,25,23,21,-,19,15,13,17,-,-,25,19,19,23
Michigan,18,17,15,14,20,20,20,18,16,20,20,23,22,17,11,13,10,13,13
Indiana,-,-,-,-,-,18,17,13,12,11,16,20,23,18,23,18,15,16,7
Virginia,-,-,-,-,-,-,24,23,21,15,19,16,19,22,25,24,-,-,16
Gonzaga,23,22,19,19,23,-,-,-,25,-,-,24,-,24,-,-,24,-,21
Xavier,14,13,12,11,8,8,14,-,-,-,-,-,-,-,-,-,-,-,-
Vanderbilt,7,18,18,20,-,25,-,-,-,-,-,25,-,-,-,-,-,20,-
San Diego State,-,-,-,-,-,-,-,25,24,16,13,17,13,13,24,21,18,22,22
California,24,23,20,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kansas State,-,-,-,-,-,-,-,-,23,25,22,-,-,-,-,-,-,-,18
Murray State,-,-,-,-,-,24,22,20,19,12,11,10,9,16,14,12,11,12,15
Cincinnati,21,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Georgetown,-,-,-,-,18,16,16,12,9,10,9,14,12,10,9,11,13,15,11
Syracuse,5,5,5,4,3,1,1,1,1,1,3,2,2,2,2,2,2,2,1
Notre Dame,-,-,-,-,-,-,-,-,-,-,-,-,-,23,20,20,23,-,-
UConn,4,4,4,8,9,9,8,9,8,13,24,-,-,-,-,-,-,-,17
Duke,6,6,6,3,7,7,7,7,5,4,8,7,10,5,5,4,6,8,8
Memphis,11,10,8,22,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Wisconsin,15,14,11,9,14,14,13,11,18,-,25,19,21,15,16,14,14,14,-
UCLA,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Louis,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Harvard,-,-,-,-,25,-,-,24,22,-,-,-,25,-,-,-,-,-,-
UNLV,-,-,-,18,-,-,21,19,17,14,12,11,14,11,21,17,20,23,12
Baylor,12,11,9,7,6,6,6,6,4,3,6,6,6,9,13,9,12,9,4
Missouri,25,24,21,13,10,10,9,8,7,5,2,4,4,3,3,7,5,3,9
Texas A&M,20,19,25,25,22,22,-,-,-,-,-,-,-,-,-,-,-,-,-
Illinois,-,-,-,-,24,19,25,-,-,22,-,-,-,-,-,-,-,-,-
Arizona,16,15,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ohio State,3,3,3,2,2,2,2,2,6,6,4,3,3,6,8,10,7,7,5
Kansas,13,12,14,15,13,12,12,17,14,7,5,8,7,4,4,3,3,6,10
Saint Mary's,-,-,-,-,-,-,-,-,-,24,21,18,16,21,-,-,-,24,-
Mississippi State,-,-,24,21,17,17,18,15,15,18,18,22,20,-,-,-,-,-,20
UNC,1,1,1,5,4,5,5,5,3,8,7,5,5,8,7,6,4,4,3
Iowa State,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-
Florida,8,7,10,10,12,13,11,10,13,17,14,12,8,14,12,16,22,25,19
New Mexico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-,-,21,-
Temple,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,23,21,-,-
Michigan State,-,-,-,-,-,21,19,16,10,9,10,9,11,7,6,5,8,5,6
