School,Pre,11/16,11/23,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,2/29,3/7,Final
Louisville,-,-,-,24,22,19,16,18,16,21,17,16,19,13,18,11,11,14,16
Kentucky,2,2,1,1,5,4,12,10,9,14,23,20,20,22,14,16,22,16,10
Seton Hall,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
Wichita State,10,9,20,-,-,-,-,-,-,-,-,22,21,25,-,-,-,-,-
Purdue,23,21,16,11,11,9,14,14,20,24,22,21,18,18,17,20,15,13,12
Pitt,-,-,-,-,-,-,-,-,24,20,-,-,-,-,-,-,-,-,-
South Carolina,-,-,-,-,-,-,25,24,22,19,24,-,25,-,-,-,-,-,-
SMU,-,-,25,22,19,18,18,17,15,10,8,13,12,16,21,24,24,25,24
Michigan,25,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Oregon,-,25,21,15,24,-,-,-,-,-,-,23,16,11,16,13,9,8,5
Indiana,15,14,13,-,-,-,-,-,-,-,25,19,22,-,22,18,12,10,14
Virginia,6,6,12,10,10,8,5,5,4,13,13,11,9,7,7,3,4,4,4
Gonzaga,9,10,10,13,20,-,-,-,-,25,-,-,-,-,-,-,-,-,-
Xavier,-,-,23,12,12,10,6,6,10,7,5,7,6,5,8,5,5,5,9
Vanderbilt,18,17,19,16,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
California,14,15,14,-,-,-,-,-,-,-,-,-,-,-,-,-,25,24,23
Villanova,11,11,8,8,9,12,17,16,11,6,4,6,3,1,1,1,3,3,6
Cincinnati,-,-,24,17,23,23,22,22,-,-,-,-,-,-,-,-,-,-,-
Miami (FL),-,-,15,21,17,15,13,13,12,8,15,15,17,12,11,12,7,11,10
Syracuse,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maryland,3,3,2,2,6,6,4,4,3,3,7,8,4,2,6,10,14,18,18
Notre Dame,19,18,17,-,-,-,-,-,-,-,-,25,-,-,19,23,-,-,-
UConn,20,19,18,-,-,25,-,-,23,-,-,-,-,-,-,-,-,-,-
Duke,5,5,6,7,8,7,15,15,14,9,20,24,-,-,20,15,17,19,19
West Virginia,-,-,-,20,14,20,19,19,17,11,6,9,14,10,10,14,10,9,8
Wisconsin,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UCLA,-,-,-,-,-,22,-,25,-,-,-,-,-,-,-,-,-,-,-
USC,-,-,-,-,-,-,-,-,-,-,21,-,-,23,-,-,-,-,-
Utah,16,16,-,-,25,-,24,21,-,-,-,-,-,-,-,22,13,12,13
George Washington,-,-,-,-,-,21,20,-,-,-,-,-,-,-,-,-,-,-,-
Baylor,22,20,-,25,16,16,23,23,-,22,14,17,15,21,25,19,19,22,21
Texas,-,-,-,-,-,-,-,-,-,-,-,-,-,24,24,25,23,23,-
LSU,21,23,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas A&M,-,-,25,18,-,24,21,20,21,15,10,5,8,15,-,21,20,17,15
Iowa,-,-,-,-,-,-,-,-,19,16,9,3,5,4,4,8,16,20,25
Arizona,12,12,11,19,13,13,8,8,7,18,12,18,23,17,12,8,18,15,17
Kansas,4,4,5,4,2,2,2,2,1,1,3,4,7,6,2,2,1,1,1
Oklahoma,8,8,7,6,7,3,3,3,2,2,1,1,1,3,3,3,6,6,7
UNC,1,1,9,9,3,11,7,7,6,5,2,2,2,9,5,7,8,7,3
Iowa State,7,7,4,5,4,5,11,11,13,17,19,14,13,14,13,17,21,21,22
Providence,-,-,-,23,15,14,10,12,8,12,16,10,11,20,23,-,-,-,-
Dayton,-,-,-,-,-,-,-,-,25,-,-,-,24,19,15,-,-,-,-
Butler,24,22,-,-,18,17,9,9,18,23,18,-,-,-,-,-,-,-,-
Michigan State,13,13,3,3,1,1,1,1,5,4,11,12,10,8,8,6,2,2,2
