School,Pre,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,Final
Duke,4,1,1,3,3,2,2,1,1,1,1,2,2,2,2,1,3,4,5,1
Virginia,5,4,4,4,4,6,5,4,4,4,4,3,3,3,4,3,2,2,2,2
UNC,8,7,7,11,14,12,9,14,15,12,13,11,9,8,8,8,5,3,3,3
Gonzaga,3,3,3,1,1,4,8,7,7,5,5,4,4,4,3,2,1,1,1,4
Michigan State,10,11,11,9,10,9,10,8,8,6,6,6,6,9,11,10,6,9,6,5
Tennessee,6,5,5,6,7,3,3,3,3,3,3,1,1,1,1,5,7,5,8,6
Kentucky,2,10,10,10,9,19,19,16,13,18,12,8,7,5,5,4,4,6,4,7
Michigan,19,18,9,7,5,5,4,2,2,2,2,5,5,7,6,7,9,7,10,8
Texas Tech,-,-,-,20,13,11,12,11,11,8,8,14,16,18,15,14,11,8,7,9
Florida State,17,14,14,15,11,10,11,9,9,13,11,-,25,22,17,16,18,14,12,10
Houston,-,-,-,-,-,24,21,22,19,17,21,17,13,12,9,9,8,12,11,11
LSU,23,22,19,-,-,-,-,-,-,-,-,25,19,21,19,13,13,10,9,12
Purdue,24,23,24,19,-,-,-,-,-,-,-,-,17,15,12,15,14,11,13,13
Auburn,11,9,8,8,8,8,7,12,12,11,14,16,-,-,-,-,-,-,22,14
Buffalo,-,25,22,21,17,14,14,21,20,19,16,14,18,23,25,25,21,19,18,15
Virginia Tech,15,16,13,13,15,13,13,10,10,9,9,10,12,11,22,20,20,15,16,16
Kansas,1,2,2,2,2,1,1,5,5,7,7,9,11,13,14,12,15,13,17,17
Kansas State,12,12,12,12,16,25,-,-,-,-,-,-,-,-,18,23,16,18,15,18
Wofford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,22,20,19
Nevada,7,6,6,5,6,7,6,6,6,10,10,7,8,6,7,6,12,17,14,20
Wisconsin,-,-,25,22,12,16,16,15,22,-,-,-,24,19,20,22,19,21,19,21
Cincinnati,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,23,20,24,22
Villanova,9,8,-,23,21,17,-,-,-,-,22,18,14,14,13,17,-,23,25,23
Iowa State,-,-,-,-,-,-,-,-,-,20,-,24,20,17,23,19,-,-,-,24
Utah State,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25
Louisville,-,-,-,-,-,-,-,-,-,-,-,23,15,16,16,18,-,-,-,-
Nebraska,-,-,-,-,24,-,25,-,24,-,-,-,-,-,-,-,-,-,-,-
Marquette,-,24,-,-,-,21,20,18,16,21,15,12,10,10,10,11,10,16,23,-
UCF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-
Ole Miss,-,-,-,-,-,-,-,-,-,-,18,20,-,-,-,-,-,-,-,-
Oregon,14,13,21,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Indiana,-,-,-,-,-,25,22,23,21,22,25,-,-,-,-,-,-,-,-,-
Arizona State,-,-,-,-,20,20,18,17,-,-,-,-,-,-,-,-,-,-,-,-
St. John's (NY),-,-,-,-,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-
Syracuse,16,15,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maryland,-,-,-,24,23,-,-,-,-,-,19,13,21,24,24,24,17,24,21,-
West Virginia,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
UCLA,21,20,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Washington,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-
Clemson,22,19,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Furman,-,-,-,-,25,23,24,-,-,-,-,-,-,-,-,-,-,-,-,-
Texas,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NC State,-,-,-,-,-,-,-,20,18,15,17,21,23,-,-,-,-,-,-,-
Iowa,-,-,20,14,18,22,23,24,25,-,23,19,-,20,21,21,22,-,-,-
Ohio State,-,-,23,16,19,15,15,13,14,16,-,-,-,-,-,-,-,-,-,-
Oklahoma,-,-,-,-,-,-,-,25,23,23,20,-,-,-,-,-,-,-,-,-
Mississippi State,18,17,15,25,22,18,17,19,17,14,24,22,22,-,-,-,-,-,-,-
TCU,20,21,18,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-
