WTeamID,LTeamID,MOV,WLoc
1112,1238,24,N
1120,1166,3,N
1211,1257,11,N
1235,1148,10,N
1246,1382,5,N
1261,1369,3,N
1268,1233,15,N
1277,1434,27,N
1328,1457,24,N
1345,1173,1,N
1385,1319,5,N
1393,1359,14,N
1400,1232,16,N
1417,1123,8,N
1428,1387,3,N
1458,1201,10,N
1153,1423,17,N
1163,1429,8,N
1181,1249,27,N
1196,1139,1,N
1228,1335,10,N
1242,1177,4,N
1274,1116,4,N
1314,1281,14,N
1326,1111,26,N
1329,1220,20,N
1337,1231,20,N
1371,1332,1,N
1390,1354,19,N
1396,1248,26,N
1397,1418,5,N
1409,1424,27,N
1211,1385,6,N
1235,1120,19,N
1261,1400,5,N
1277,1428,12,N
1345,1328,4,N
1393,1246,2,N
1417,1268,35,N
1458,1112,7,N
1181,1242,5,N
1196,1228,17,N
1274,1326,13,N
1314,1390,7,N
1329,1337,8,N
1371,1396,2,N
1397,1163,14,N
1409,1153,8,N
1235,1417,24,N
1277,1393,17,N
1345,1211,9,N
1458,1261,13,N
1196,1181,9,N
1314,1397,5,N
1329,1371,2,N
1409,1274,9,N
1277,1235,11,N
1458,1345,4,N
1196,1329,12,N
1314,1409,4,N
1196,1314,12,N
1277,1458,12,N
1277,1196,13,N
