Team,Weeks_in_Top25,Weeks_in_Top10,Weeks_in_Top5,Weeks_at_1
Alabama,2,0,0,0
Arizona,17,4,3,0
Arizona State,11,4,4,0
Arkansas,1,0,0,0
Auburn,10,2,0,0
Baylor,8,0,0,0
Cincinnati,19,7,1,0
Clemson,11,0,0,0
Creighton,4,0,0,0
Duke,19,18,15,5
Florida,10,5,1,0
Florida State,6,0,0,0
Gonzaga,19,5,0,0
Houston,4,0,0,0
Kansas,19,14,7,0
Kentucky,15,7,1,0
Louisville,4,0,0,0
Miami (FL),14,4,0,0
Michigan,9,2,0,0
Michigan State,19,19,17,1
Middle Tennessee,2,0,0,0
Minnesota,5,0,0,0
Nevada,8,0,0,0
Northwestern,2,0,0,0
Notre Dame,6,2,1,0
Ohio State,9,1,0,0
Oklahoma,9,3,1,0
Purdue,18,9,5,0
Rhode Island,7,0,0,0
Saint Mary's,11,0,0,0
Seton Hall,10,0,0,0
TCU,8,1,0,0
Tennessee,15,0,0,0
Texas A&M,10,5,1,0
Texas Tech,15,6,0,0
UCLA,3,0,0,0
UNC,19,9,1,0
USC,5,3,0,0
Villanova,19,19,18,8
Virginia,16,12,10,5
West Virginia,19,6,1,0
Wichita State,19,10,1,0
Xavier,19,13,7,0
