Team,W,L,Home_W,Home_L,Away_W,Away_L,Conf_W,Conf_L,SOS,FG,FG%,3P,3P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,FTAR,3PAR,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,16,16,9,6,6,9,8,10,-6.82,870,0.46399999999999997,213,0.325,406,0.701,309,1093,482,260,128,461,671,71.5,0.309,0.35,0.5489999999999999,49.7,55.4,11.3,11.6,0.521,17.7,28.0,0.217
Air Force,12,19,9,7,3,10,6,12,1.72,733,0.419,250,0.331,408,0.7340000000000001,302,1014,445,201,78,391,557,67.7,0.318,0.431,0.527,48.7,60.7,9.5,8.1,0.49,16.3,27.5,0.233
Akron,14,18,12,4,2,10,6,12,-1.92,793,0.435,305,0.358,405,0.696,306,1071,418,189,81,440,637,69.0,0.319,0.467,0.547,49.2,52.7,8.5,7.5,0.518,17.3,27.5,0.222
Alabama A&M,3,28,2,9,1,18,3,15,-8.04,673,0.397,182,0.303,345,0.647,335,1046,340,123,49,514,506,68.2,0.314,0.354,0.48,48.2,50.5,5.8,3.9,0.45,20.9,29.9,0.203
Alabama-Birmingham,20,13,14,3,5,6,10,8,-0.65,945,0.488,223,0.345,423,0.75,333,1255,560,178,127,437,490,69.4,0.29100000000000004,0.33399999999999996,0.575,54.8,59.3,7.7,11.6,0.545,16.5,31.2,0.218
Alabama State,8,23,4,8,4,13,8,10,-8.62,751,0.408,209,0.32799999999999996,418,0.6459999999999999,394,1131,313,169,130,437,648,70.5,0.35200000000000004,0.34700000000000003,0.496,47.9,41.7,7.7,11.2,0.465,16.9,31.9,0.22699999999999998
Alabama,20,16,12,4,2,8,8,10,10.64,910,0.461,229,0.326,555,0.67,360,1290,458,228,192,513,676,70.2,0.419,0.355,0.55,50.3,50.3,9.0,14.7,0.519,17.8,29.4,0.281
Albany (NY),22,10,14,3,8,7,10,6,-5.41,839,0.457,184,0.36700000000000005,513,0.754,377,1191,405,150,91,371,528,67.3,0.37,0.273,0.55,55.2,48.3,7.0,7.9,0.507,14.7,34.9,0.27899999999999997
Alcorn State,11,21,9,5,2,16,7,11,-8.6,791,0.434,239,0.34299999999999997,423,0.7070000000000001,305,1104,419,200,85,459,613,70.4,0.32799999999999996,0.382,0.532,48.4,53.0,8.8,7.7,0.499,17.9,27.2,0.23199999999999998
American,6,24,4,8,2,16,3,15,-6.17,698,0.43200000000000005,239,0.337,326,0.664,242,869,367,217,98,413,550,67.3,0.304,0.439,0.531,45.1,52.6,10.7,9.1,0.506,18.3,23.7,0.20199999999999999
Appalachian State,15,18,9,4,4,11,9,9,-2.65,864,0.436,292,0.34,500,0.6679999999999999,389,1292,411,198,117,457,627,72.0,0.37799999999999995,0.433,0.539,52.3,47.6,8.2,8.9,0.509,16.3,30.8,0.252
Arizona State,20,12,13,4,4,6,8,10,6.56,888,0.46299999999999997,288,0.363,581,0.733,315,1126,458,209,114,343,604,72.2,0.413,0.413,0.5760000000000001,49.0,51.6,9.0,9.9,0.5379999999999999,13.0,27.9,0.303
Arizona,27,8,15,1,8,3,14,4,6.84,1009,0.504,237,0.369,563,0.76,353,1277,531,173,158,426,603,68.6,0.37,0.321,0.598,55.6,52.6,7.1,12.0,0.563,15.3,33.3,0.281
Little Rock,7,25,5,10,2,14,4,14,-2.21,750,0.42700000000000005,200,0.321,338,0.61,322,1089,391,159,93,459,612,66.6,0.315,0.355,0.505,49.1,52.1,7.4,9.5,0.484,18.5,28.9,0.192
Arkansas-Pine Bluff,14,21,7,3,6,13,12,6,-9.36,815,0.43700000000000006,217,0.32899999999999996,460,0.675,279,1024,427,275,144,500,684,68.4,0.366,0.354,0.528,43.6,52.4,11.4,11.7,0.496,18.6,24.0,0.247
Arkansas State,11,21,7,7,4,13,6,12,-3.02,841,0.44,236,0.34,451,0.718,359,1072,344,215,95,419,589,70.4,0.32899999999999996,0.364,0.536,48.6,40.9,9.5,7.9,0.502,15.9,30.6,0.23600000000000002
