Team,FG,FG%,3P,3P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Pace,OR,FTAR,3PAR,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,770,0.43799999999999994,214,0.326,525,0.7070000000000001,313,1107,370,205,91,512,556,71.5,98.8,0.42200000000000004,0.374,0.54,50.3,48.1,8.9,7.5,0.499,19.5,28.5,0.298
Air Force,781,0.46299999999999997,288,0.397,394,0.7120000000000001,274,1069,447,174,106,436,582,67.7,106.5,0.32799999999999996,0.431,0.5760000000000001,51.3,57.2,8.3,10.6,0.5489999999999999,18.3,27.8,0.23399999999999999
Akron,828,0.461,257,0.35700000000000004,498,0.723,298,1106,423,202,114,410,554,69.0,107.9,0.38299999999999995,0.401,0.5670000000000001,50.8,51.1,9.0,11.7,0.532,16.2,28.0,0.27699999999999997
Alabama A&M,881,0.478,228,0.38299999999999995,377,0.687,340,1126,460,237,151,353,528,68.2,111.5,0.298,0.32299999999999995,0.562,51.8,52.2,11.2,13.8,0.54,14.4,32.4,0.204
Alabama-Birmingham,827,0.424,292,0.342,357,0.696,301,1035,440,232,100,414,555,69.4,99.7,0.263,0.43700000000000006,0.524,45.2,53.2,10.0,7.7,0.498,15.9,24.6,0.183
Alabama State,813,0.45299999999999996,238,0.377,573,0.685,392,1232,418,207,119,401,590,70.5,111.0,0.466,0.35200000000000004,0.556,52.1,51.4,9.4,9.9,0.519,15.5,34.7,0.319
Alabama,877,0.41600000000000004,262,0.32799999999999996,527,0.685,414,1277,427,237,134,473,718,70.2,100.6,0.365,0.379,0.514,49.7,48.7,9.4,10.5,0.478,16.0,30.8,0.25
Albany (NY),807,0.446,215,0.32899999999999996,353,0.7020000000000001,261,965,433,176,135,368,634,67.3,101.3,0.278,0.36200000000000004,0.5329999999999999,44.8,53.7,8.2,10.1,0.506,15.2,24.3,0.195
Alcorn State,809,0.433,266,0.34700000000000003,504,0.7040000000000001,363,1179,466,201,99,419,557,70.4,105.5,0.384,0.41,0.541,51.6,57.6,8.9,8.8,0.505,16.0,31.2,0.27
American,776,0.48700000000000004,199,0.38299999999999995,464,0.7140000000000001,282,1059,412,208,108,413,499,67.3,109.3,0.408,0.325,0.5820000000000001,54.9,53.1,10.3,11.9,0.5489999999999999,17.8,31.0,0.29100000000000004
Appalachian State,854,0.43700000000000006,232,0.36200000000000004,508,0.721,304,1177,406,219,104,430,686,72.0,101.6,0.361,0.32799999999999996,0.535,47.7,47.5,9.1,9.3,0.49700000000000005,15.8,25.2,0.26
