Team,PPG,OPP_PPG,O-SRS,D-SRS,ORtg,DRtg,Conf_Rank,Season_Conf_Champs?,Tourney_Conf_Champs?
Villanova,86.6,70.2,17.8,8.84,127.92,89.79,2,0,1
Duke,84.4,69.6,16.41,8.03,123.93,88.6,3,0,0
Purdue,80.4,65.7,12.91,10.51,123.33,89.6,4,0,0
Michigan State,80.2,64.9,10.72,11.7,121.35,88.55,4,1,0
Virginia,67.1,54.0,-1.79,24.0,115.92,80.94,3,1,1
Kansas,81.4,71.9,13.57,7.82,122.39,91.96,1,1,1
Cincinnati,74.3,57.5,3.06,17.19,113.38,82.87,7,1,1
North Carolina,81.6,73.3,15.41,4.66,119.93,91.4,3,0,0
West Virginia,80.1,69.6,12.42,7.46,119.29,91.07,1,0,0
Texas Tech,74.6,64.8,5.29,14.09,113.74,85.68,1,0,0
Xavier,84.4,74.7,15.15,3.93,121.03,94.08,2,1,0
Michigan,73.6,63.3,4.21,14.82,114.94,86.75,4,0,1
Gonzaga,83.5,67.7,12.39,6.04,118.31,91.42,11,1,1
Tennessee,73.8,65.7,5.78,12.43,115.38,88.25,5,0,0
Ohio State,76.2,67.6,7.67,10.0,116.79,90.38,4,0,0
Kentucky,76.8,70.2,9.26,7.99,116.16,91.12,5,0,1
Clemson,73.8,65.9,4.91,12.26,113.61,88.21,3,0,0
Butler,78.9,72.6,9.68,7.25,116.31,91.85,2,0,0
Florida,75.8,69.2,8.15,8.52,115.62,91.51,5,0,0
Wichita State,82.8,71.6,12.81,3.77,119.96,96.32,7,0,0
Texas Christian,82.1,75.4,13.36,3.02,120.04,96.55,1,0,0
Creighton,83.5,74.1,12.82,3.54,117.37,94.26,2,0,0
Houston,76.7,64.9,7.34,8.65,114.31,90.59,7,0,0
Auburn,81.9,73.2,12.84,3.13,115.61,93.0,5,0,0
Penn State,74.7,66.7,6.19,9.66,114.07,90.16,4,0,0
Florida State,80.2,72.9,12.0,3.79,114.82,92.47,3,0,0
Arizona,80.5,71.7,10.25,5.42,119.31,96.27,6,1,1
Seton Hall,79.4,73.9,10.68,4.99,116.65,94.04,2,0,0
Texas A&M,75.2,70.5,6.36,8.94,111.39,89.51,5,0,0
Arkansas,80.5,75.6,11.85,2.91,117.25,96.6,5,0,0
Baylor,75.6,69.7,4.84,9.75,112.3,91.36,1,0,0
Nevada,82.6,73.1,12.63,1.81,119.02,97.88,8,1,0
Arizona State,82.7,74.8,13.8,0.57,117.43,97.37,6,0,0
Virginia Tech,79.8,72.2,10.46,3.89,116.67,95.92,3,0,0
Louisville,75.6,70.4,7.92,6.37,113.05,91.91,3,0,0
Texas,72.1,68.8,3.68,10.28,110.26,90.0,1,0,0
Missouri,72.7,68.1,4.1,9.72,112.73,92.5,5,0,0
Oklahoma,84.9,81.7,17.14,-3.34,115.96,96.7,1,0,0
Maryland,73.1,66.9,5.36,8.41,114.1,93.62,4,0,0
Notre Dame,74.9,68.6,5.57,8.08,115.49,95.21,3,0,0
North Carolina State,81.3,75.1,12.67,0.24,115.98,97.53,3,0,0
Syracuse,66.6,63.8,-2.38,15.27,107.08,87.58,3,0,0
Saint Mary's (CA),77.0,64.5,5.46,7.4,119.45,98.87,11,0,0
Kansas State,71.1,67.0,1.46,11.38,110.73,91.61,1,0,0
Miami (FL),73.8,67.9,4.57,8.27,111.55,92.38,3,0,0
Southern California,77.7,71.2,7.61,5.2,114.82,95.98,6,0,0
Marquette,81.3,78.5,12.51,-0.01,119.09,100.52,2,0,0
Oklahoma State,76.6,73.3,6.55,5.9,111.54,93.53,1,0,0
Alabama,72.3,70.6,4.14,8.2,109.43,91.63,5,0,0
San Diego State,77.1,67.9,4.83,7.4,110.6,92.77,8,0,1
UCLA,81.2,76.0,11.87,0.21,115.52,97.74,6,0,0
Rhode Island,76.0,68.8,4.97,6.85,111.11,93.46,10,1,0
Mississippi State,73.4,67.8,3.79,7.92,110.26,93.02,5,0,0
Utah,73.5,68.5,2.77,8.63,111.44,94.54,6,0,0
Boise State,78.2,69.1,5.21,6.01,108.94,92.79,8,0,0
Providence,73.6,72.7,3.47,7.65,108.9,92.55,2,0,0
Western Kentucky,78.4,70.4,7.12,3.96,113.76,97.02,12,0,0
Davidson,76.3,67.9,5.42,5.6,118.15,100.16,10,0,1
Nebraska,72.3,68.6,3.69,7.3,111.0,94.18,4,0,0
Louisiana State,77.5,74.6,8.35,2.59,116.12,99.7,5,0,0
Oregon,78.3,72.4,5.71,5.0,111.67,96.31,6,0,0
Loyola (IL),71.6,62.6,0.65,9.73,110.59,93.84,9,1,1
Wisconsin,66.8,66.0,-1.36,11.74,110.78,94.61,4,0,0
