WTeamID,LTeamID,MOV,WLoc
1231,1371,14,N
1434,1376,6,N
1231,1376,21,N
1434,1371,10,N
1348,1395,2,H
1435,1344,6,A
1348,1435,13,H
1395,1344,2,A
1396,1207,16,N
1448,1228,2,N
1228,1207,15,N
1396,1448,11,N
1310,1138,22,H
1112,1397,1,N
1113,1363,19,H
1120,1368,54,H
1140,1459,6,H
1155,1115,24,H
1158,1149,21,A
1198,1276,7,H
1199,1358,37,H
1201,1164,19,H
1203,1206,12,H
1208,1273,35,H
1221,1463,24,H
1241,1288,24,H
1242,1211,14,H
1243,1388,23,H
1250,1436,13,H
1272,1423,4,H
1274,1194,24,A
1275,1323,11,A
1277,1419,31,H
1279,1106,42,H
1281,1238,41,H
1307,1177,1,H
1308,1431,2,A
1314,1111,23,H
1338,1420,28,H
1345,1421,37,H
1349,1410,40,H
1387,1117,3,H
1401,1317,21,H
1402,1453,27,H
1438,1433,16,A
1451,1381,6,A
1147,1311,7,H
1160,1176,3,H
1161,1270,18,H
1166,1406,45,H
1169,1253,18,A
1173,1245,16,H
1174,1110,5,A
1181,1193,32,H
1191,1443,5,H
1198,1319,8,H
1202,1391,7,H
1231,1232,6,H
1240,1187,8,H
1248,1171,15,A
1259,1224,15,H
1263,1214,23,H
1266,1130,21,A
1268,1441,67,H
1283,1139,15,A
1291,1247,4,H
1293,1356,3,H
1296,1152,17,H
1301,1271,21,H
1304,1422,20,A
1305,1361,5,A
1306,1135,6,H
1328,1322,20,H
1330,1460,21,H
1334,1365,5,H
1337,1364,20,H
1344,1348,24,H
1350,1144,6,H
1352,1137,15,H
1353,1447,17,H
1371,1389,18,H
1373,1126,6,A
1375,1282,12,H
1395,1331,1,H
1412,1108,13,H
1435,1119,51,H
1439,1456,9,H
1458,1260,37,H
1116,1238,11,H
1143,1218,11,A
1162,1221,3,A
1163,1346,42,H
1207,1216,29,H
1234,1442,11,N
1323,1463,2,H
1326,1104,8,H
1332,1164,15,H
1397,1398,22,H
1409,1358,18,H
1102,1459,19,H
1117,1124,2,H
1120,1197,47,H
1123,1276,11,A
1132,1320,2,H
1155,1391,27,H
1190,1292,5,A
1196,1204,14,H
1201,1142,13,H
1208,1158,21,H
1210,1149,40,H
1211,1272,15,A
1218,1311,18,H
1232,1444,2,H
1240,1290,9,A
1243,1168,21,H
1261,1410,19,H
1266,1288,34,H
1269,1310,14,H
1298,1349,17,H
1314,1198,21,H
1329,1322,25,H
1336,1440,24,H
1345,1227,16,H
1383,1250,14,A
1385,1421,55,H
1390,1374,35,H
1424,1407,37,H
1435,1122,10,H
1437,1206,10,H
1449,1423,7,H
1457,1273,16,H
1458,1454,12,H
1116,1106,30,H
1133,1369,2,H
1138,1165,1,A
1141,1460,1,A
1150,1131,15,A
1160,1161,8,H
1176,1461,4,A
1178,1126,34,H
1181,1172,33,N
1202,1456,12,A
1203,1228,6,A
1222,1400,2,H
1242,1335,5,A
1246,1184,35,H
1253,1258,6,A
1260,1152,13,A
1263,1321,12,A
